ClientID,ClientName,Region,RiskProfile,OnboardDate
1,Client_103,LATAM,Low,2022-12-22
2,Client_180,LATAM,Low,2022-03-12
3,Client_93,APAC,Medium,2022-09-20
4,Client_15,LATAM,Low,2022-11-02
5,Client_107,Middle East,Medium,2023-07-12
6,Client_72,LATAM,Low,2024-02-01
7,Client_189,Middle East,Low,2023-08-11
8,Client_21,Europe,Low,2022-03-15
9,Client_103,Middle East,High,2022-05-22
10,Client_122,North America,Medium,2022-04-12
11,Client_75,North America,Medium,2024-12-24
12,Client_88,North America,High,2022-07-12
13,Client_117,APAC,High,2024-08-10
14,Client_100,APAC,High,2024-12-21
15,Client_104,APAC,Medium,2023-02-14
16,Client_152,Middle East,Low,2022-10-27
17,Client_131,APAC,High,2023-03-30
18,Client_150,Europe,High,2023-07-28
19,Client_53,North America,High,2023-09-11
20,Client_2,Middle East,Low,2023-09-29
21,Client_88,North America,Low,2022-10-28
22,Client_158,APAC,High,2024-02-18
23,Client_38,Middle East,Low,2024-09-15
24,Client_130,LATAM,High,2022-07-21
25,Client_192,Europe,Low,2023-11-05
26,Client_188,APAC,Medium,2022-10-29
27,Client_21,APAC,Medium,2022-12-03
28,Client_161,Europe,Low,2022-02-01
29,Client_58,Europe,Medium,2024-02-12
30,Client_22,LATAM,Medium,2024-12-07
31,Client_89,APAC,Medium,2023-10-27
32,Client_49,APAC,High,2022-11-24
33,Client_59,North America,Low,2024-03-07
34,Client_170,Middle East,Low,2024-03-24
35,Client_188,Middle East,Low,2023-10-27
36,Client_15,North America,Medium,2024-01-16
37,Client_190,Middle East,High,2024-11-12
38,Client_190,Europe,Low,2024-07-18
39,Client_175,Middle East,Medium,2024-08-20
40,Client_190,Middle East,High,2023-01-08
41,Client_51,North America,High,2022-10-12
42,Client_108,LATAM,Low,2023-06-05
43,Client_55,Middle East,Low,2023-11-28
44,Client_64,Middle East,Medium,2024-03-17
45,Client_131,LATAM,Low,2023-10-09
46,Client_51,North America,Medium,2022-05-16
47,Client_135,LATAM,High,2022-04-06
48,Client_21,North America,High,2022-10-01
49,Client_73,Europe,High,2024-05-27
50,Client_167,North America,High,2024-04-29
51,Client_18,Europe,Low,2024-02-23
52,Client_132,Europe,Low,2022-05-12
53,Client_89,North America,Medium,2024-12-03
54,Client_60,APAC,Medium,2023-01-08
55,Client_14,North America,Medium,2024-03-18
56,Client_9,Middle East,Medium,2024-01-14
57,Client_90,Middle East,Medium,2022-02-20
58,Client_53,APAC,High,2022-02-25
59,Client_130,Europe,High,2024-01-14
60,Client_84,APAC,High,2023-03-04
61,Client_92,Middle East,Medium,2023-03-19
62,Client_111,APAC,High,2022-11-22
63,Client_188,North America,High,2023-10-02
64,Client_199,APAC,High,2024-04-08
65,Client_172,Europe,High,2022-03-21
66,Client_8,North America,Low,2023-04-19
67,Client_175,LATAM,Medium,2023-01-12
68,Client_35,Middle East,Medium,2024-07-07
69,Client_81,Middle East,Low,2022-11-29
70,Client_164,APAC,High,2023-03-17
71,Client_50,North America,High,2022-05-06
72,Client_104,LATAM,High,2022-08-07
73,Client_132,North America,Medium,2024-08-05
74,Client_2,Middle East,Medium,2022-10-05
75,Client_134,North America,Medium,2023-08-18
76,Client_54,LATAM,Medium,2024-07-23
77,Client_106,APAC,Medium,2022-05-21
78,Client_4,Europe,Low,2024-04-25
79,Client_54,North America,Medium,2024-10-04
80,Client_191,Europe,High,2024-05-26
81,Client_146,Middle East,Medium,2022-04-20
82,Client_44,APAC,Low,2024-12-11
83,Client_162,APAC,High,2023-09-05
84,Client_190,North America,Low,2023-12-14
85,Client_14,APAC,High,2024-03-06
86,Client_95,North America,Medium,2023-12-30
87,Client_48,North America,Low,2024-12-05
88,Client_15,Europe,High,2023-05-20
89,Client_200,APAC,Medium,2024-11-06
90,Client_190,North America,High,2022-11-11
91,Client_40,Europe,Low,2022-03-18
92,Client_82,LATAM,Low,2024-09-04
93,Client_111,Europe,Low,2024-06-17
94,Client_53,Europe,Low,2024-11-13
95,Client_24,North America,Medium,2023-12-13
96,Client_154,Middle East,High,2024-11-24
97,Client_188,Middle East,Medium,2024-05-03
98,Client_124,Middle East,Low,2023-12-10
99,Client_41,Europe,High,2022-09-22
100,Client_157,North America,Low,2022-11-29
101,Client_15,APAC,Medium,2022-07-07
102,Client_45,Europe,Medium,2024-12-22
103,Client_65,Europe,Medium,2024-03-30
104,Client_89,North America,High,2022-10-26
105,Client_71,LATAM,High,2022-07-20
106,Client_9,Europe,Low,2022-09-29
107,Client_88,LATAM,High,2023-06-19
108,Client_129,LATAM,High,2022-01-31
109,Client_136,Middle East,Medium,2022-03-10
110,Client_63,North America,Low,2024-06-01
111,Client_139,LATAM,Medium,2024-08-18
112,Client_81,North America,Low,2024-04-06
113,Client_136,Middle East,Low,2024-07-12
114,Client_163,North America,High,2024-09-10
115,Client_163,Europe,Medium,2023-04-26
116,Client_33,LATAM,High,2022-10-20
117,Client_123,North America,High,2022-03-27
118,Client_5,APAC,High,2024-11-05
119,Client_41,North America,Low,2023-12-29
120,Client_28,LATAM,Medium,2023-09-20
121,Client_135,Middle East,Medium,2022-04-28
122,Client_72,Middle East,High,2022-09-27
123,Client_12,LATAM,Low,2024-09-05
124,Client_162,Europe,Medium,2024-05-04
125,Client_33,Europe,Medium,2022-06-11
126,Client_48,Middle East,High,2023-12-01
127,Client_151,Middle East,Low,2022-06-16
128,Client_62,LATAM,High,2022-10-27
129,Client_37,Europe,Medium,2022-01-28
130,Client_99,Middle East,Low,2023-07-16
131,Client_172,Europe,High,2024-06-01
132,Client_104,Middle East,Medium,2022-06-05
133,Client_35,North America,High,2023-10-14
134,Client_193,APAC,High,2024-03-31
135,Client_101,North America,High,2023-07-15
136,Client_175,Middle East,Low,2024-12-21
137,Client_131,APAC,Medium,2022-11-08
138,Client_1,APAC,Medium,2023-01-11
139,Client_5,Middle East,Medium,2022-05-30
140,Client_142,Middle East,Medium,2023-08-08
141,Client_103,Europe,Low,2023-08-04
142,Client_27,Middle East,High,2024-09-03
143,Client_137,LATAM,Medium,2022-06-26
144,Client_15,Middle East,Low,2022-12-20
145,Client_90,LATAM,High,2023-05-29
146,Client_42,Middle East,Low,2022-11-05
147,Client_124,Europe,Low,2022-04-29
148,Client_179,LATAM,Medium,2024-02-06
149,Client_63,North America,Medium,2024-09-22
150,Client_96,LATAM,High,2024-08-30
151,Client_52,Europe,High,2024-07-04
152,Client_96,LATAM,Medium,2023-04-23
153,Client_132,Middle East,Low,2023-08-10
154,Client_151,Middle East,Medium,2022-12-17
155,Client_143,Europe,High,2022-07-14
156,Client_171,APAC,Low,2023-05-11
157,Client_29,Middle East,Low,2023-05-30
158,Client_36,North America,Low,2023-11-27
159,Client_13,Europe,Medium,2022-09-30
160,Client_160,LATAM,Medium,2024-05-29
161,Client_71,LATAM,High,2022-02-21
162,Client_187,North America,Low,2022-09-20
163,Client_86,Middle East,Low,2022-05-13
164,Client_28,Europe,Medium,2024-09-20
165,Client_66,North America,High,2022-11-06
166,Client_170,Middle East,High,2022-01-16
167,Client_45,Europe,Low,2022-07-14
168,Client_62,LATAM,Medium,2022-10-30
169,Client_185,Europe,Low,2024-12-07
170,Client_134,APAC,Medium,2024-04-11
171,Client_28,Europe,High,2023-07-16
172,Client_28,APAC,Low,2022-02-10
173,Client_108,Europe,Low,2023-06-18
174,Client_44,APAC,Low,2023-01-06
175,Client_84,LATAM,High,2023-06-01
176,Client_30,Middle East,Low,2023-10-19
177,Client_190,APAC,High,2023-08-13
178,Client_75,APAC,Medium,2022-08-19
179,Client_128,LATAM,High,2024-03-19
180,Client_92,APAC,Medium,2023-04-24
181,Client_190,North America,High,2023-11-06
182,Client_129,LATAM,High,2022-10-05
183,Client_121,North America,Low,2022-02-22
184,Client_27,LATAM,High,2024-10-30
185,Client_190,APAC,Low,2024-01-18
186,Client_121,North America,Medium,2023-04-09
187,Client_116,APAC,Medium,2024-01-24
188,Client_3,LATAM,Low,2023-08-06
189,Client_103,APAC,Medium,2022-06-07
190,Client_198,North America,High,2022-01-19
191,Client_200,North America,Low,2022-02-24
192,Client_155,APAC,Low,2023-12-22
193,Client_137,Europe,Low,2024-11-10
194,Client_62,LATAM,Medium,2024-01-31
195,Client_165,LATAM,Medium,2024-10-15
196,Client_51,APAC,High,2024-03-18
197,Client_172,Europe,High,2023-12-24
198,Client_152,North America,Low,2022-10-12
199,Client_59,Middle East,High,2023-05-26
200,Client_118,Middle East,Medium,2024-10-18
201,Client_160,APAC,High,2022-04-30
202,Client_96,Europe,Medium,2022-04-07
203,Client_180,Europe,High,2022-04-30
204,Client_113,LATAM,Medium,2023-01-28
205,Client_62,North America,Medium,2024-03-04
206,Client_186,Europe,High,2022-08-08
207,Client_52,Middle East,High,2024-04-18
208,Client_12,North America,Medium,2022-06-09
209,Client_39,North America,Low,2023-09-03
210,Client_130,APAC,High,2023-10-01
211,Client_131,Europe,Medium,2024-11-21
212,Client_113,APAC,High,2024-02-16
213,Client_101,Europe,High,2022-11-30
214,Client_113,LATAM,High,2024-06-10
215,Client_184,APAC,High,2024-07-28
216,Client_81,APAC,High,2022-12-18
217,Client_187,Middle East,Low,2024-07-14
218,Client_113,APAC,Low,2023-01-31
219,Client_2,Europe,Low,2023-06-14
220,Client_130,Middle East,Medium,2022-12-24
221,Client_54,APAC,Low,2024-04-07
222,Client_87,APAC,Low,2022-03-01
223,Client_129,LATAM,Medium,2023-04-22
224,Client_147,APAC,Low,2023-09-04
225,Client_126,North America,High,2022-01-01
226,Client_130,Middle East,Low,2022-11-07
227,Client_53,North America,Low,2022-06-17
228,Client_172,Middle East,Low,2022-07-11
229,Client_160,LATAM,High,2024-11-23
230,Client_198,APAC,High,2024-11-23
231,Client_160,APAC,High,2023-12-09
232,Client_68,APAC,High,2023-01-01
233,Client_183,Middle East,Medium,2024-05-07
234,Client_184,APAC,High,2022-11-23
235,Client_123,North America,High,2022-04-24
236,Client_145,APAC,High,2024-03-07
237,Client_38,LATAM,High,2024-07-07
238,Client_24,North America,Medium,2023-09-01
239,Client_69,APAC,Low,2022-11-05
240,Client_116,APAC,Low,2023-02-05
241,Client_98,Europe,High,2022-07-31
242,Client_198,Middle East,High,2022-11-13
243,Client_139,North America,High,2022-07-04
244,Client_144,Europe,Low,2022-09-03
245,Client_97,LATAM,Low,2022-08-27
246,Client_124,Middle East,High,2023-06-04
247,Client_187,North America,Low,2022-10-04
248,Client_70,APAC,Medium,2024-10-02
249,Client_93,North America,High,2022-07-21
250,Client_3,APAC,High,2022-08-02
251,Client_148,Middle East,Medium,2023-08-29
252,Client_187,APAC,Medium,2023-04-23
253,Client_164,LATAM,Low,2023-05-23
254,Client_147,APAC,Medium,2023-10-31
255,Client_90,LATAM,High,2023-10-27
256,Client_195,Middle East,Low,2022-05-22
257,Client_147,Middle East,Medium,2022-11-18
258,Client_148,North America,Low,2023-04-06
259,Client_96,LATAM,Low,2023-12-08
260,Client_199,LATAM,Low,2023-11-01
261,Client_52,Europe,Low,2022-02-23
262,Client_161,Europe,Medium,2022-10-04
263,Client_168,Europe,High,2023-02-04
264,Client_128,APAC,High,2023-10-30
265,Client_39,Europe,Medium,2023-05-31
266,Client_82,LATAM,High,2023-07-30
267,Client_104,APAC,Low,2022-04-22
268,Client_129,Middle East,Low,2022-08-27
269,Client_11,North America,Low,2024-11-09
270,Client_185,Europe,Medium,2022-07-16
271,Client_178,Middle East,Low,2023-01-17
272,Client_151,LATAM,Low,2022-06-13
273,Client_159,North America,Medium,2023-08-29
274,Client_42,Middle East,Low,2024-12-27
275,Client_99,North America,Low,2024-05-04
276,Client_7,Europe,High,2024-11-10
277,Client_144,LATAM,Medium,2024-04-10
278,Client_90,North America,Low,2023-08-20
279,Client_112,Middle East,Low,2023-06-20
280,Client_60,Europe,Low,2022-04-21
281,Client_113,Europe,Low,2024-08-06
282,Client_2,Middle East,High,2024-05-12
283,Client_129,Middle East,High,2023-08-18
284,Client_48,North America,High,2024-10-18
