FundID,FundName,AssetClass,FundCurrency,InceptionDate
1,Fund_32,Alternatives,USD,2024-05-30
2,Fund_11,Alternatives,GBP,2022-01-09
3,Fund_45,Real Estate,INR,2024-06-05
4,Fund_11,Fixed Income,INR,2024-02-15
5,Fund_4,Real Estate,USD,2022-10-08
6,Fund_26,Real Estate,JPY,2023-04-03
7,Fund_46,Fixed Income,GBP,2024-07-24
8,Fund_5,Equity,INR,2023-03-27
9,Fund_36,Commodities,GBP,2024-03-01
10,Fund_33,Equity,GBP,2024-03-22
11,Fund_14,Real Estate,EUR,2022-02-25
12,Fund_32,Equity,GBP,2023-12-09
13,Fund_7,Commodities,EUR,2023-01-14
14,Fund_10,Equity,USD,2024-10-06
15,Fund_2,Commodities,JPY,2022-01-23
16,Fund_10,Equity,EUR,2024-02-11
17,Fund_35,Alternatives,GBP,2022-08-19
18,Fund_21,Real Estate,JPY,2022-07-29
19,Fund_40,Commodities,GBP,2024-05-15
20,Fund_42,Real Estate,GBP,2024-06-17
21,Fund_8,Alternatives,EUR,2024-05-22
22,Fund_46,Equity,USD,2022-12-29
23,Fund_18,Real Estate,GBP,2023-04-20
24,Fund_9,Equity,EUR,2022-07-14
25,Fund_41,Equity,GBP,2024-07-21
26,Fund_30,Real Estate,JPY,2024-11-01
27,Fund_4,Commodities,USD,2024-02-23
28,Fund_35,Commodities,GBP,2024-12-21
29,Fund_14,Real Estate,USD,2023-06-13
30,Fund_14,Commodities,USD,2022-09-28
31,Fund_48,Fixed Income,JPY,2023-06-22
32,Fund_37,Equity,JPY,2023-10-19
33,Fund_20,Real Estate,INR,2022-03-06
34,Fund_29,Alternatives,USD,2024-05-11
35,Fund_23,Real Estate,GBP,2023-05-05
36,Fund_47,Real Estate,JPY,2024-12-27
37,Fund_21,Equity,GBP,2022-12-28
38,Fund_31,Alternatives,USD,2023-07-26
39,Fund_32,Equity,JPY,2024-09-21
40,Fund_41,Commodities,INR,2024-02-08
41,Fund_7,Real Estate,USD,2024-11-08
42,Fund_13,Equity,GBP,2023-06-29
43,Fund_23,Fixed Income,INR,2024-09-05
44,Fund_8,Real Estate,USD,2024-07-20
45,Fund_12,Commodities,JPY,2022-04-01
46,Fund_36,Equity,USD,2024-08-30
47,Fund_16,Equity,EUR,2022-08-26
48,Fund_26,Fixed Income,GBP,2023-04-07
49,Fund_29,Commodities,JPY,2024-11-13
50,Fund_29,Fixed Income,JPY,2024-04-30
51,Fund_6,Real Estate,EUR,2024-07-09
52,Fund_37,Alternatives,INR,2024-06-25
53,Fund_33,Equity,JPY,2024-02-16
54,Fund_31,Fixed Income,INR,2024-10-26
55,Fund_46,Equity,INR,2023-07-24
56,Fund_41,Equity,INR,2023-09-04
57,Fund_18,Fixed Income,USD,2023-09-26
58,Fund_38,Equity,EUR,2024-09-09
59,Fund_47,Commodities,GBP,2023-04-08
60,Fund_31,Commodities,EUR,2023-10-25
61,Fund_16,Alternatives,JPY,2024-09-16
62,Fund_40,Commodities,EUR,2023-03-07
63,Fund_37,Fixed Income,GBP,2024-05-27
64,Fund_14,Commodities,USD,2023-03-01
65,Fund_39,Alternatives,JPY,2022-04-15
66,Fund_4,Real Estate,USD,2022-09-09
67,Fund_30,Real Estate,JPY,2023-10-07
68,Fund_33,Fixed Income,GBP,2022-06-27
69,Fund_36,Alternatives,USD,2023-12-21
70,Fund_30,Commodities,GBP,2024-12-16
71,Fund_14,Alternatives,GBP,2024-06-10
72,Fund_23,Equity,EUR,2023-02-13
73,Fund_48,Alternatives,JPY,2024-08-11
74,Fund_28,Commodities,INR,2022-09-19
75,Fund_7,Fixed Income,INR,2024-01-12
76,Fund_42,Equity,USD,2023-10-16
77,Fund_10,Alternatives,GBP,2023-07-29
78,Fund_4,Real Estate,EUR,2022-04-28
79,Fund_44,Commodities,JPY,2024-08-28
80,Fund_38,Fixed Income,USD,2022-11-04
81,Fund_13,Commodities,GBP,2023-05-05
82,Fund_21,Alternatives,INR,2024-01-27
83,Fund_33,Fixed Income,INR,2023-10-10
84,Fund_40,Real Estate,JPY,2023-08-31
85,Fund_28,Equity,JPY,2024-01-07
86,Fund_23,Alternatives,JPY,2022-01-24
87,Fund_32,Fixed Income,USD,2024-01-23
88,Fund_48,Equity,JPY,2024-09-27
89,Fund_5,Fixed Income,USD,2022-12-15
90,Fund_26,Alternatives,EUR,2022-01-25
91,Fund_39,Fixed Income,GBP,2024-10-11
92,Fund_26,Real Estate,INR,2023-08-22
