SecurityID,SecurityCode,AssetClass,Issuer,Currency
1,SEC_01659,Fixed Income,Counterparty_64,INR
2,SEC_01251,Alternatives,Counterparty_18,JPY
3,SEC_00456,Real Estate,Counterparty_63,INR
4,SEC_01764,Alternatives,Counterparty_68,USD
5,SEC_01689,Alternatives,Counterparty_50,JPY
6,SEC_01845,Alternatives,Counterparty_68,EUR
7,SEC_01329,Fixed Income,Counterparty_91,GBP
8,SEC_00505,Fixed Income,Counterparty_16,INR
9,SEC_00328,Real Estate,Counterparty_14,INR
10,SEC_01685,Real Estate,Counterparty_62,EUR
11,SEC_00819,Alternatives,Counterparty_78,JPY
12,SEC_01966,Equity,Counterparty_7,JPY
13,SEC_01545,Commodities,Counterparty_56,JPY
14,SEC_01344,Alternatives,Counterparty_14,GBP
15,SEC_00736,Commodities,Counterparty_42,GBP
16,SEC_00492,Fixed Income,Counterparty_70,JPY
17,SEC_00461,Real Estate,Counterparty_62,GBP
18,SEC_01559,Equity,Counterparty_43,INR
19,SEC_01468,Real Estate,Counterparty_57,JPY
20,SEC_01467,Fixed Income,Counterparty_91,GBP
21,SEC_01928,Alternatives,Counterparty_75,INR
22,SEC_01728,Fixed Income,Counterparty_31,INR
23,SEC_01251,Equity,Counterparty_51,GBP
24,SEC_00566,Alternatives,Counterparty_67,JPY
25,SEC_01628,Alternatives,Counterparty_1,JPY
26,SEC_01551,Equity,Counterparty_80,GBP
27,SEC_00820,Real Estate,Counterparty_44,GBP
28,SEC_01715,Alternatives,Counterparty_91,USD
29,SEC_00516,Real Estate,Counterparty_50,INR
30,SEC_00418,Commodities,Counterparty_60,JPY
31,SEC_01125,Equity,Counterparty_3,EUR
32,SEC_00408,Commodities,Counterparty_72,INR
33,SEC_01429,Alternatives,Counterparty_80,JPY
34,SEC_01154,Equity,Counterparty_54,USD
35,SEC_01543,Alternatives,Counterparty_2,INR
36,SEC_01720,Equity,Counterparty_29,INR
37,SEC_01867,Real Estate,Counterparty_16,JPY
38,SEC_00844,Fixed Income,Counterparty_93,EUR
39,SEC_01988,Fixed Income,Counterparty_95,GBP
40,SEC_00035,Equity,Counterparty_59,EUR
41,SEC_01768,Commodities,Counterparty_11,USD
42,SEC_00154,Equity,Counterparty_96,INR
43,SEC_01426,Real Estate,Counterparty_24,JPY
44,SEC_01088,Commodities,Counterparty_83,INR
45,SEC_01783,Equity,Counterparty_32,GBP
46,SEC_00890,Equity,Counterparty_74,EUR
47,SEC_00568,Alternatives,Counterparty_54,EUR
48,SEC_00229,Real Estate,Counterparty_56,USD
49,SEC_00976,Real Estate,Counterparty_96,JPY
50,SEC_01847,Fixed Income,Counterparty_87,GBP
51,SEC_01932,Alternatives,Counterparty_97,GBP
52,SEC_01001,Commodities,Counterparty_94,JPY
53,SEC_01277,Fixed Income,Counterparty_94,USD
54,SEC_01512,Real Estate,Counterparty_71,GBP
55,SEC_00805,Equity,Counterparty_80,USD
56,SEC_00564,Alternatives,Counterparty_43,JPY
57,SEC_00915,Real Estate,Counterparty_53,JPY
58,SEC_00015,Real Estate,Counterparty_1,JPY
59,SEC_00895,Alternatives,Counterparty_94,GBP
60,SEC_00854,Real Estate,Counterparty_98,JPY
61,SEC_00340,Fixed Income,Counterparty_61,GBP
62,SEC_00363,Alternatives,Counterparty_34,USD
63,SEC_00180,Real Estate,Counterparty_61,INR
64,SEC_00589,Real Estate,Counterparty_61,USD
65,SEC_00215,Alternatives,Counterparty_95,GBP
66,SEC_01759,Equity,Counterparty_8,EUR
67,SEC_01178,Commodities,Counterparty_54,EUR
68,SEC_01069,Alternatives,Counterparty_53,INR
69,SEC_00352,Equity,Counterparty_20,JPY
70,SEC_00021,Real Estate,Counterparty_46,USD
71,SEC_01617,Fixed Income,Counterparty_93,USD
72,SEC_00989,Real Estate,Counterparty_31,GBP
73,SEC_00565,Real Estate,Counterparty_85,INR
74,SEC_00669,Equity,Counterparty_26,JPY
75,SEC_00944,Alternatives,Counterparty_95,INR
76,SEC_00369,Commodities,Counterparty_63,EUR
77,SEC_00659,Commodities,Counterparty_20,INR
78,SEC_00694,Alternatives,Counterparty_22,JPY
79,SEC_01102,Alternatives,Counterparty_57,JPY
80,SEC_01919,Fixed Income,Counterparty_57,USD
81,SEC_01023,Alternatives,Counterparty_26,USD
82,SEC_01143,Fixed Income,Counterparty_17,JPY
83,SEC_00359,Alternatives,Counterparty_89,USD
84,SEC_01879,Fixed Income,Counterparty_27,USD
85,SEC_01641,Alternatives,Counterparty_67,USD
86,SEC_01538,Alternatives,Counterparty_56,JPY
87,SEC_01651,Commodities,Counterparty_24,USD
88,SEC_00503,Real Estate,Counterparty_25,EUR
89,SEC_00032,Real Estate,Counterparty_10,JPY
90,SEC_00358,Fixed Income,Counterparty_36,INR
91,SEC_00062,Equity,Counterparty_82,GBP
92,SEC_01121,Commodities,Counterparty_45,GBP
93,SEC_01402,Alternatives,Counterparty_17,EUR
94,SEC_01671,Commodities,Counterparty_78,JPY
95,SEC_01520,Equity,Counterparty_58,INR
96,SEC_01634,Commodities,Counterparty_83,JPY
97,SEC_00452,Equity,Counterparty_82,INR
98,SEC_01239,Equity,Counterparty_23,INR
99,SEC_01108,Equity,Counterparty_8,JPY
100,SEC_00406,Equity,Counterparty_50,USD
101,SEC_01006,Equity,Counterparty_16,GBP
102,SEC_01693,Alternatives,Counterparty_89,USD
103,SEC_01131,Commodities,Counterparty_43,GBP
104,SEC_01513,Real Estate,Counterparty_96,USD
105,SEC_00357,Real Estate,Counterparty_83,JPY
106,SEC_00131,Alternatives,Counterparty_82,JPY
107,SEC_01046,Fixed Income,Counterparty_96,INR
108,SEC_00596,Equity,Counterparty_46,EUR
109,SEC_01625,Commodities,Counterparty_49,JPY
110,SEC_00226,Equity,Counterparty_15,GBP
111,SEC_01130,Equity,Counterparty_49,INR
112,SEC_01973,Real Estate,Counterparty_21,GBP
113,SEC_01885,Equity,Counterparty_75,USD
114,SEC_00953,Commodities,Counterparty_93,EUR
