HoldingDate,ClientID,FundID,SecurityID,UnitsHeld,MarketValue
2024-10-24,5157,2066,5102,29542,4500455.83
2024-02-13,4433,4327,1382,29929,4500455.83
2023-01-02,6286,2009,1172,3221,4500455.83
2023-12-28,1064,3685,1073,39702,4500455.83
2023-02-08,1528,2878,4250,5767,4500455.83
2023-12-23,3352,5151,1280,8266,4500455.83
2023-02-02,1362,3376,3248,15438,4500455.83
2024-02-07,5951,3408,3718,33075,4500455.83
2022-12-27,2320,4871,4077,5854,4500455.83
2023-08-22,3635,2089,2491,34799,4500455.83
2022-08-11,3088,4459,1792,15188,4500455.83
2023-07-15,2106,7,3617,28804,4500455.83
2024-06-20,2723,5672,4558,38646,4500455.83
2023-11-19,4322,2933,2292,31790,4500455.83
2023-10-25,2209,2933,1024,32210,4500455.83
2024-03-18,727,5690,3202,29388,4500455.83
2023-12-18,3658,1746,2381,807,4500455.83
2023-11-28,5323,1485,4268,15911,4500455.83
2023-10-20,3140,2561,4883,12971,4500455.83
2023-06-03,4828,6072,2658,32323,4500455.83
2022-04-20,1804,2497,2441,37753,4500455.83
2023-07-31,1297,5593,1439,29530,4500455.83
2022-06-16,6005,9,132,9148,4500455.83
2023-07-28,3552,1212,751,29971,4500455.83
2024-11-23,5325,4373,4433,11329,4500455.83
2022-12-12,6869,1991,3461,43075,4500455.83
2023-05-07,4621,1014,1517,9427,4500455.83
2023-09-29,6304,4691,2471,3822,4500455.83
2023-03-19,5477,1631,865,6589,4500455.83
2023-07-26,6313,6305,2780,46283,4500455.83
2024-02-01,6548,1180,2317,43311,4500455.83
2024-12-29,3259,3506,2972,39199,4500455.83
2023-05-15,6401,21,1933,15055,4500455.83
2024-11-16,2479,2487,5759,13168,4500455.83
2022-11-20,6959,3366,4973,4374,4500455.83
2023-03-03,4183,5251,1337,13628,4500455.83
2023-09-10,2253,5868,1507,35068,4500455.83
2022-10-20,3205,1419,2408,38865,4500455.83
2022-06-27,1769,5886,4376,48747,4500455.83
2023-06-24,5475,3803,4105,4273,4500455.83
2023-08-30,3840,4899,7,36317,4500455.83
2023-12-03,6788,2975,3173,12805,4500455.83
2023-04-27,6109,2551,890,22436,4500455.83
2023-07-13,6466,3080,4886,19937,4500455.83
2024-08-02,688,3232,2632,44652,4500455.83
2024-05-05,2102,6245,2052,8347,4500455.83
2022-08-14,5763,2051,5099,26133,4500455.83
2024-04-23,3862,4854,2218,37016,4500455.83
2024-09-10,5582,1849,5250,33564,4500455.83
2024-04-21,5453,2809,1973,3999,4500455.83
2022-08-25,6018,1788,2862,32832,4500455.83
2022-10-06,6071,2550,616,22367,4500455.83
2023-03-09,201,5031,2617,28851,4500455.83
2024-08-17,4368,965,2646,12514,4500455.83
2023-10-25,6540,1774,5763,13456,4500455.83
2024-07-17,696,555,4426,35120,4500455.83
2022-02-20,2226,4008,2136,43170,4500455.83
2022-12-02,6125,2243,4335,26826,4500455.83
2024-12-25,2754,5297,2408,42516,4500455.83
2023-05-03,97,1964,510,25953,4500455.83
2024-11-24,3046,56,2791,13325,4500455.83
2023-09-28,597,1291,4991,20889,4500455.83
2023-06-23,2638,1427,813,31356,4500455.83
2022-04-22,5515,3296,5214,18786,4500455.83
2023-11-25,4242,4127,1412,32870,4500455.83
2024-03-14,6707,1133,2002,25714,4500455.83
2023-07-27,1241,3876,3879,20055,4500455.83
2024-07-17,3016,563,5507,10884,4500455.83
2022-07-12,6392,2514,1857,4963,4500455.83
2023-01-21,2626,765,16,22924,4500455.83
2022-01-12,2132,50,3630,21380,4500455.83
2024-09-01,1465,823,2810,41908,4500455.83
2023-10-09,2458,5830,183,18997,4500455.83
2024-07-29,2920,1387,5089,38901,4500455.83
2022-01-07,5578,2659,676,22016,4500455.83
2022-04-23,4596,1613,2655,41167,4500455.83
2022-01-16,503,2633,175,14642,4500455.83
2022-07-06,4200,6483,2864,5522,4500455.83
2023-12-08,1118,4239,1814,7929,4500455.83
2022-09-02,6150,2790,3100,2247,4500455.83
2022-08-28,5432,2584,3748,39490,4500455.83
2023-12-03,5618,869,5408,1361,4500455.83
2024-04-17,559,4926,622,998,4500455.83
2024-04-20,4944,1365,674,18174,4500455.83
2024-05-17,4115,5471,2495,10393,4500455.83
2022-05-23,2051,4415,3137,47263,4500455.83
2024-07-30,4237,2582,1744,32704,4500455.83
2022-01-15,6738,2459,1499,26374,4500455.83
2023-02-02,5248,2423,4767,40768,4500455.83
2022-03-07,809,3219,4528,4043,4500455.83
2023-07-28,2423,4875,4829,15974,4500455.83
2024-12-03,1449,4109,5270,37296,4500455.83
2022-07-28,6151,2887,1863,24091,4500455.83
2024-03-22,4127,3803,4776,40968,4500455.83
2024-11-14,637,3096,3204,9938,4500455.83
2024-12-02,5120,2990,3918,1693,4500455.83
2024-08-15,5715,2457,2937,5464,4500455.83
2024-09-22,6163,5487,833,31903,4500455.83
2022-06-02,47,2775,4721,38062,4500455.83
2022-12-23,3215,2995,130,17664,4500455.83
2024-01-18,4552,831,3026,12054,4500455.83
2023-02-04,4078,1957,1923,16758,4500455.83
2024-11-17,1904,6391,2773,30098,4500455.83
2022-04-17,4061,4246,77,47501,4500455.83
2024-01-05,3896,4630,3823,18233,4500455.83
2024-08-12,624,259,3483,5191,4500455.83
2022-03-10,3122,3289,3194,49146,4500455.83
2024-09-27,5629,2541,5692,17053,4500455.83
2022-07-03,6673,3154,451,14162,4500455.83
2024-11-14,6690,5426,5061,9371,4500455.83
2023-09-22,5418,4016,1278,26092,4500455.83
2022-06-18,1493,1843,3577,17822,4500455.83
2023-05-15,285,2727,3749,8701,4500455.83
2024-10-25,1992,5450,3968,19228,4500455.83
2022-06-16,372,4194,4349,29545,4500455.83
2024-04-17,1542,767,2662,17051,4500455.83
2022-11-24,6084,3428,3888,1046,4500455.83
2023-06-23,6168,4568,962,41455,4500455.83
2023-04-28,6123,660,734,37277,4500455.83
2022-06-17,6127,751,1478,46567,4500455.83
2023-10-17,5459,4321,1307,48544,4500455.83
2024-07-30,721,5028,3149,9468,4500455.83
2023-11-02,6744,3735,1332,40054,4500455.83
2022-04-18,1893,3737,2746,33480,4500455.83
2023-04-01,3163,4845,4187,8735,4500455.83
2022-12-10,5783,4104,830,229,4500455.83
2024-10-22,5070,5814,3472,30340,4500455.83
2022-02-01,6710,774,4528,2233,4500455.83
2023-03-08,1271,1504,4679,45182,4500455.83
2024-04-02,5707,6201,579,8927,4500455.83
2023-05-24,3799,2626,2191,5822,4500455.83
2022-04-03,6664,4280,1489,2121,4500455.83
2024-03-23,2553,5315,2365,39388,4500455.83
2022-02-18,2316,5194,3778,33254,4500455.83
2023-07-04,5677,942,3182,36092,4500455.83
2023-01-21,5491,417,3269,32913,4500455.83
2024-03-18,5561,1327,4580,27661,4500455.83
2022-03-03,4033,4410,2348,27341,4500455.83
2023-12-03,6340,2168,2175,32708,4500455.83
2023-05-17,3429,6163,1689,15902,4500455.83
2024-08-26,6404,3715,2283,45824,4500455.83
2022-01-15,845,1490,4884,18127,4500455.83
2022-07-11,415,2946,3189,27884,4500455.83
2023-08-02,5942,2557,4313,39661,4500455.83
2022-07-22,1823,2151,2626,13480,4500455.83
2022-09-22,1184,4871,4746,25448,4500455.83
2024-11-10,3496,5849,818,46024,4500455.83
2022-07-31,4868,782,1862,18921,4500455.83
2023-09-06,2407,3914,395,17061,4500455.83
2023-09-12,3821,2190,2929,4624,4500455.83
2022-10-26,5895,4257,5981,32749,4500455.83
2023-04-16,5048,1144,5278,9227,4500455.83
2023-10-09,3385,4883,4763,21951,4500455.83
2022-10-02,1966,4582,5162,9939,4500455.83
2024-03-25,6262,5141,2084,39260,4500455.83
2024-01-27,2481,310,5421,5978,4500455.83
2023-01-09,4988,3955,5345,12694,4500455.83
2022-03-05,1969,2719,3867,21974,4500455.83
2023-12-12,4350,2947,4351,15557,4500455.83
2024-08-06,6736,1525,2360,30375,4500455.83
2022-08-22,6886,5188,3270,16539,4500455.83
