NAVDate,FundID,NAV,AUM
2023-10-07,5342,197.3302,41543863.29
2024-05-24,14,197.3302,41543863.29
2024-04-07,5258,197.3302,41543863.29
2022-11-09,3617,197.3302,41543863.29
2023-07-09,6073,197.3302,41543863.29
2023-12-15,5150,197.3302,41543863.29
2022-11-07,5546,197.3302,41543863.29
2023-08-24,6202,197.3302,41543863.29
2024-09-06,2812,197.3302,41543863.29
2023-09-12,3905,197.3302,41543863.29
2022-11-29,1299,197.3302,41543863.29
2022-12-29,5139,197.3302,41543863.29
2022-10-16,1832,197.3302,41543863.29
2022-01-02,3461,197.3302,41543863.29
2023-06-19,2969,197.3302,41543863.29
2024-02-23,5876,197.3302,41543863.29
2022-09-05,673,197.3302,41543863.29
2022-12-27,1848,197.3302,41543863.29
2022-08-02,2809,197.3302,41543863.29
2023-02-13,2295,197.3302,41543863.29
2023-08-03,4309,197.3302,41543863.29
2023-12-08,4511,197.3302,41543863.29
2023-05-13,436,197.3302,41543863.29
2022-04-18,6094,197.3302,41543863.29
2022-02-08,5568,197.3302,41543863.29
2024-10-02,884,197.3302,41543863.29
2023-01-07,5791,197.3302,41543863.29
2024-11-11,2832,197.3302,41543863.29
2022-07-07,3240,197.3302,41543863.29
2022-06-13,601,197.3302,41543863.29
2023-11-20,1221,197.3302,41543863.29
2023-08-24,665,197.3302,41543863.29
2022-10-16,6239,197.3302,41543863.29
2022-07-30,5455,197.3302,41543863.29
2023-10-21,5735,197.3302,41543863.29
2024-04-18,3324,197.3302,41543863.29
2023-06-02,3059,197.3302,41543863.29
2024-08-29,5609,197.3302,41543863.29
2022-07-25,5708,197.3302,41543863.29
2022-01-08,5582,197.3302,41543863.29
2023-08-13,5438,197.3302,41543863.29
2022-12-23,4570,197.3302,41543863.29
2023-08-15,4615,197.3302,41543863.29
2024-03-26,2563,197.3302,41543863.29
2023-08-23,4250,197.3302,41543863.29
2024-08-07,5686,197.3302,41543863.29
2022-09-11,3906,197.3302,41543863.29
2022-12-24,2848,197.3302,41543863.29
2024-10-29,4647,197.3302,41543863.29
2024-10-04,5645,197.3302,41543863.29
2024-01-09,1516,197.3302,41543863.29
2024-04-16,4930,197.3302,41543863.29
2024-12-13,1355,197.3302,41543863.29
2023-05-14,889,197.3302,41543863.29
2024-06-22,3325,197.3302,41543863.29
2023-09-25,3258,197.3302,41543863.29
2023-02-17,5719,197.3302,41543863.29
2022-02-01,4923,197.3302,41543863.29
2023-05-08,4937,197.3302,41543863.29
2024-11-22,2302,197.3302,41543863.29
2024-09-05,3315,197.3302,41543863.29
2023-03-10,1272,197.3302,41543863.29
2024-05-16,3298,197.3302,41543863.29
2024-03-17,1625,197.3302,41543863.29
2024-09-11,3119,197.3302,41543863.29
2023-06-16,1582,197.3302,41543863.29
2023-11-10,3927,197.3302,41543863.29
2024-02-15,1355,197.3302,41543863.29
2024-06-09,52,197.3302,41543863.29
2024-11-19,3019,197.3302,41543863.29
2024-01-29,557,197.3302,41543863.29
2024-05-01,4223,197.3302,41543863.29
2022-08-19,244,197.3302,41543863.29
2023-10-22,3196,197.3302,41543863.29
2023-06-24,224,197.3302,41543863.29
2024-04-17,2547,197.3302,41543863.29
2024-08-07,4689,197.3302,41543863.29
2023-04-02,1077,197.3302,41543863.29
2024-07-04,2875,197.3302,41543863.29
2023-10-25,5875,197.3302,41543863.29
2023-07-05,5787,197.3302,41543863.29
2022-10-17,1536,197.3302,41543863.29
2022-05-30,6174,197.3302,41543863.29
2023-06-14,201,197.3302,41543863.29
2022-11-13,4290,197.3302,41543863.29
2023-04-14,281,197.3302,41543863.29
2023-02-18,3194,197.3302,41543863.29
2022-05-02,2988,197.3302,41543863.29
2024-10-10,6038,197.3302,41543863.29
2024-08-02,4799,197.3302,41543863.29
2022-04-03,4828,197.3302,41543863.29
2022-05-25,5104,197.3302,41543863.29
2024-04-19,4659,197.3302,41543863.29
2023-03-03,5990,197.3302,41543863.29
2024-08-08,4383,197.3302,41543863.29
2024-01-27,3212,197.3302,41543863.29
2022-10-05,5900,197.3302,41543863.29
2022-09-30,4884,197.3302,41543863.29
2022-09-07,305,197.3302,41543863.29
2024-12-27,6221,197.3302,41543863.29
2024-07-13,6254,197.3302,41543863.29
2024-11-20,1909,197.3302,41543863.29
2024-09-17,4443,197.3302,41543863.29
2022-05-06,74,197.3302,41543863.29
2023-07-20,5581,197.3302,41543863.29
2022-01-27,1149,197.3302,41543863.29
2024-07-16,6012,197.3302,41543863.29
2024-09-18,3176,197.3302,41543863.29
2024-06-02,3060,197.3302,41543863.29
2024-10-04,1394,197.3302,41543863.29
2023-07-23,6182,197.3302,41543863.29
2022-04-13,1156,197.3302,41543863.29
2024-04-09,1803,197.3302,41543863.29
2022-10-16,6204,197.3302,41543863.29
2022-03-01,1348,197.3302,41543863.29
2022-05-28,3295,197.3302,41543863.29
2022-03-17,1631,197.3302,41543863.29
2022-05-21,6345,197.3302,41543863.29
2024-11-19,3901,197.3302,41543863.29
2023-04-23,2885,197.3302,41543863.29
2022-01-02,2091,197.3302,41543863.29
2024-07-03,126,197.3302,41543863.29
2023-11-21,3499,197.3302,41543863.29
2023-02-05,804,197.3302,41543863.29
2022-04-30,3467,197.3302,41543863.29
2023-06-17,389,197.3302,41543863.29
2024-04-20,4290,197.3302,41543863.29
2022-09-27,230,197.3302,41543863.29
2022-01-22,5389,197.3302,41543863.29
2024-10-26,2444,197.3302,41543863.29
2022-05-02,3088,197.3302,41543863.29
2024-11-05,2854,197.3302,41543863.29
