PerformanceDate,FundID,ReturnPct,BenchmarkReturnPct
2022-10-16,835,3.53,-1.65
2022-03-24,1202,3.53,-1.65
2023-05-13,4621,3.53,-1.65
2024-01-08,3773,3.53,-1.65
2022-06-07,1302,3.53,-1.65
2022-01-27,816,3.53,-1.65
2022-10-09,5651,3.53,-1.65
2024-04-03,559,3.53,-1.65
2023-08-22,208,3.53,-1.65
2023-11-30,4534,3.53,-1.65
2024-10-24,3862,3.53,-1.65
2023-02-09,2605,3.53,-1.65
2024-04-20,1989,3.53,-1.65
2023-01-02,776,3.53,-1.65
2024-11-01,2913,3.53,-1.65
2024-01-12,4482,3.53,-1.65
2024-09-27,4563,3.53,-1.65
2023-09-19,1721,3.53,-1.65
2024-10-07,5749,3.53,-1.65
2022-07-01,1733,3.53,-1.65
2023-12-21,4806,3.53,-1.65
2023-09-29,2596,3.53,-1.65
2022-12-06,852,3.53,-1.65
2023-08-21,3394,3.53,-1.65
2023-07-08,3072,3.53,-1.65
2024-04-08,4693,3.53,-1.65
2024-03-02,3858,3.53,-1.65
2023-08-29,4061,3.53,-1.65
2022-10-09,4553,3.53,-1.65
2022-06-24,6423,3.53,-1.65
2024-07-06,5972,3.53,-1.65
2023-11-19,2084,3.53,-1.65
2023-02-28,3923,3.53,-1.65
2023-01-31,1462,3.53,-1.65
2023-07-30,9,3.53,-1.65
2023-01-28,5228,3.53,-1.65
2022-08-10,5608,3.53,-1.65
2022-10-23,5866,3.53,-1.65
2022-10-18,3631,3.53,-1.65
2023-05-16,737,3.53,-1.65
2023-10-22,1476,3.53,-1.65
2023-03-21,5328,3.53,-1.65
2022-05-20,4176,3.53,-1.65
2024-12-18,304,3.53,-1.65
2024-01-15,6037,3.53,-1.65
2024-10-02,3304,3.53,-1.65
2022-04-30,5855,3.53,-1.65
2024-07-28,3635,3.53,-1.65
2022-10-22,5209,3.53,-1.65
2023-11-26,4817,3.53,-1.65
2022-11-24,3082,3.53,-1.65
2023-07-19,6244,3.53,-1.65
2022-10-11,2999,3.53,-1.65
2023-05-02,1351,3.53,-1.65
2022-07-12,2187,3.53,-1.65
2023-06-08,4386,3.53,-1.65
2024-09-26,10,3.53,-1.65
2022-11-13,5512,3.53,-1.65
2023-08-24,6417,3.53,-1.65
2024-07-29,2417,3.53,-1.65
2024-01-28,1313,3.53,-1.65
2022-10-28,2297,3.53,-1.65
