TradeID,TradeDate,ClientID,FundID,SecurityID,BuySell,Quantity,Price
1,2023-08-25,3627,1993,627,Buy,2135,339.3
2,2022-10-06,2557,5445,1323,Sell,2452,339.3
3,2024-06-30,2097,1142,5644,Sell,9948,339.3
4,2024-05-02,5483,2254,32,Buy,7230,339.3
5,2023-10-02,808,1740,1393,Buy,4828,339.3
6,2022-12-26,710,5149,1378,Buy,2614,339.3
7,2023-08-28,1952,1232,2359,Buy,1132,339.3
8,2022-07-31,3775,5424,4545,Sell,7109,339.3
9,2023-12-17,3087,585,5905,Sell,9305,339.3
10,2023-07-03,346,3891,3935,Buy,3583,339.3
11,2022-08-06,5588,3872,4455,Sell,2629,339.3
12,2022-05-26,2828,5016,2917,Sell,4362,339.3
13,2024-12-18,3817,1397,2240,Sell,8055,339.3
14,2023-10-03,6637,3514,476,Sell,1789,339.3
15,2024-11-22,6383,2452,4234,Buy,5418,339.3
16,2024-09-16,4762,852,5988,Sell,1055,339.3
17,2023-02-15,926,4604,2559,Sell,8012,339.3
18,2024-12-09,2909,3701,3017,Buy,7372,339.3
19,2022-11-18,6221,2291,474,Buy,1492,339.3
20,2023-06-20,2281,6378,497,Buy,8756,339.3
21,2022-03-10,1470,3444,110,Buy,72,339.3
22,2024-10-28,2219,5509,3123,Sell,9589,339.3
23,2024-07-04,6678,2768,802,Sell,5423,339.3
24,2024-01-31,4843,659,5006,Buy,2750,339.3
25,2023-12-11,1001,1868,1498,Buy,1769,339.3
26,2024-04-06,4369,2345,1381,Buy,614,339.3
27,2022-07-27,6039,4476,1503,Buy,9695,339.3
28,2024-03-25,1049,4570,1318,Buy,3026,339.3
29,2024-06-16,4853,3874,28,Sell,6547,339.3
30,2022-01-26,2886,21,4472,Sell,2496,339.3
31,2023-05-22,4645,3177,5033,Buy,8087,339.3
32,2022-05-28,2522,5699,1260,Buy,5638,339.3
33,2024-05-10,3541,6121,4584,Sell,4464,339.3
34,2023-01-13,5475,1124,3000,Sell,4944,339.3
35,2024-09-06,5841,3821,5498,Buy,369,339.3
36,2022-03-06,5579,83,2011,Buy,4929,339.3
37,2023-12-30,2564,533,3393,Sell,9687,339.3
38,2024-03-13,2106,5836,2024,Buy,3394,339.3
39,2023-09-21,2220,471,3132,Sell,9607,339.3
40,2023-08-20,6417,2735,4321,Buy,3097,339.3
41,2022-10-06,3302,1692,3853,Buy,3826,339.3
42,2023-01-01,2194,3008,1477,Buy,5790,339.3
43,2023-05-14,5557,3596,4148,Buy,1876,339.3
44,2022-06-18,3347,3970,1384,Buy,5451,339.3
45,2023-04-07,4950,2846,2859,Sell,4305,339.3
46,2023-02-24,829,5388,732,Buy,6265,339.3
47,2024-05-25,5689,1767,2008,Sell,4529,339.3
48,2022-02-09,3407,2215,1748,Sell,7737,339.3
49,2022-12-29,2348,6418,2090,Buy,4047,339.3
50,2022-03-25,6291,3962,5541,Buy,2735,339.3
51,2022-12-10,4645,6393,980,Sell,336,339.3
52,2023-05-24,3986,2430,5527,Buy,8738,339.3
53,2024-04-20,5178,792,4419,Buy,8780,339.3
54,2022-12-04,1292,4748,4421,Buy,4099,339.3
55,2024-10-18,32,1362,4718,Sell,4510,339.3
56,2024-05-23,6554,2694,117,Buy,6007,339.3
57,2024-05-11,2479,5896,581,Buy,9651,339.3
58,2022-07-01,1962,4153,2146,Buy,8793,339.3
59,2022-01-07,6108,3215,2298,Buy,8521,339.3
60,2023-10-27,5721,5341,1511,Buy,2911,339.3
61,2023-02-12,4318,6202,4987,Buy,9350,339.3
62,2022-09-19,6195,4405,186,Buy,6886,339.3
63,2023-04-20,4905,921,1767,Buy,5845,339.3
64,2022-10-04,3046,224,3576,Buy,5759,339.3
65,2024-04-05,3534,2700,5934,Buy,4535,339.3
66,2022-04-06,705,1136,4527,Sell,1076,339.3
67,2024-11-21,5985,3609,1809,Buy,9032,339.3
68,2024-01-18,4669,5779,1417,Buy,1699,339.3
69,2023-01-28,4991,810,4932,Sell,8915,339.3
70,2023-02-03,2507,2295,2782,Buy,3874,339.3
71,2023-12-30,4899,5200,1776,Sell,8290,339.3
72,2024-09-21,6741,524,3022,Buy,7796,339.3
73,2024-03-18,5398,5820,5406,Sell,9869,339.3
74,2024-02-06,5573,6296,5983,Buy,1296,339.3
75,2024-10-31,3112,420,3645,Buy,2447,339.3
76,2024-12-23,5686,132,193,Buy,1971,339.3
77,2022-07-06,3026,4579,4026,Sell,4533,339.3
78,2023-01-27,5285,56,1435,Buy,2718,339.3
79,2022-07-19,5036,6262,2242,Sell,7574,339.3
80,2022-02-24,2295,4466,3885,Buy,5670,339.3
81,2023-01-17,6482,3336,5160,Buy,6286,339.3
82,2022-10-22,1909,4797,317,Buy,1007,339.3
83,2022-02-24,2572,4616,4473,Buy,7529,339.3
84,2023-10-05,1429,4743,2345,Sell,7801,339.3
85,2024-07-29,4136,3944,5720,Buy,2586,339.3
86,2022-03-21,1054,5529,5290,Buy,4504,339.3
87,2023-10-02,4928,944,190,Sell,7896,339.3
88,2022-10-23,4393,4131,5239,Buy,5395,339.3
89,2024-01-09,6991,5778,2665,Sell,8376,339.3
90,2022-06-22,2351,4363,4086,Buy,594,339.3
91,2024-06-17,6876,5342,3820,Buy,5151,339.3
92,2023-06-20,1284,5533,2225,Buy,6179,339.3
93,2024-02-07,1948,2647,1770,Buy,9516,339.3
94,2023-03-15,606,6399,4843,Buy,2602,339.3
95,2022-04-07,6576,4706,1769,Sell,4627,339.3
96,2023-12-15,1337,4563,2962,Buy,1455,339.3
97,2022-01-30,2937,2566,2782,Sell,1668,339.3
98,2024-09-20,6386,4329,4581,Buy,7068,339.3
99,2023-10-17,2779,5135,3845,Sell,4301,339.3
100,2024-05-13,5648,2377,5477,Sell,1685,339.3
101,2024-12-25,4960,3613,651,Sell,3497,339.3
102,2024-01-06,3980,1216,2052,Sell,7972,339.3
103,2024-05-02,4588,2794,124,Sell,1630,339.3
104,2023-06-15,4407,4674,1907,Sell,4046,339.3
105,2024-12-08,1935,1903,3787,Buy,6492,339.3
106,2024-11-23,2707,2278,5937,Buy,3069,339.3
107,2022-08-28,6290,6359,4719,Buy,3600,339.3
108,2023-08-19,730,2189,1308,Sell,9559,339.3
109,2023-11-19,1995,5588,5338,Sell,7890,339.3
110,2022-11-10,990,1095,4024,Sell,1070,339.3
111,2024-04-25,5020,4921,4289,Sell,1339,339.3
112,2024-09-28,1976,1024,5894,Buy,1422,339.3
113,2022-06-06,6295,2001,1058,Buy,4665,339.3
114,2024-06-23,463,1715,2120,Buy,274,339.3
115,2022-06-21,6000,2773,16,Buy,2749,339.3
116,2023-05-20,11,5660,5200,Sell,8436,339.3
117,2023-06-28,6571,3934,5392,Buy,8535,339.3
118,2023-08-26,6997,2173,5602,Sell,9484,339.3
119,2024-11-11,2349,3413,3156,Sell,9917,339.3
120,2022-06-03,4135,881,1166,Buy,9893,339.3
121,2023-02-28,591,864,4730,Sell,852,339.3
122,2023-10-10,1489,2392,5947,Buy,9434,339.3
123,2022-10-19,5081,6343,2750,Buy,3163,339.3
124,2023-09-05,3224,1187,2498,Sell,8922,339.3
125,2023-08-16,5115,5412,5058,Buy,674,339.3
126,2023-10-09,941,3598,3354,Sell,478,339.3
127,2023-01-20,3364,184,2265,Buy,4372,339.3
128,2024-01-01,1889,1086,5553,Sell,5816,339.3
129,2022-08-22,4972,908,3452,Sell,3004,339.3
130,2022-08-06,6660,5735,5425,Sell,3505,339.3
131,2022-09-03,4801,1879,3056,Sell,9499,339.3
132,2022-05-29,614,3581,5363,Sell,540,339.3
133,2024-06-12,6840,4238,721,Buy,7320,339.3
134,2023-02-08,5003,5310,2590,Buy,5716,339.3
135,2023-05-18,4693,630,1996,Sell,6293,339.3
136,2023-01-19,5785,3801,1593,Sell,6956,339.3
137,2022-02-02,3834,4630,5412,Buy,8749,339.3
138,2023-02-06,6706,2541,2728,Sell,766,339.3
139,2023-10-19,4444,625,4892,Sell,5371,339.3
140,2022-09-26,3954,6173,4193,Sell,6549,339.3
141,2022-10-26,2612,6494,686,Sell,5273,339.3
142,2022-04-23,6406,2747,4553,Buy,3301,339.3
143,2024-10-02,710,2902,5330,Buy,1333,339.3
144,2024-07-07,1807,4623,2776,Buy,9133,339.3
145,2024-11-29,1654,111,544,Buy,1476,339.3
146,2023-11-05,1469,5721,4183,Sell,1447,339.3
147,2024-08-03,289,6391,5452,Sell,7193,339.3
148,2022-12-31,6993,3917,2786,Sell,3929,339.3
149,2022-07-25,1405,6215,2042,Buy,6778,339.3
150,2024-09-07,2444,113,1690,Sell,605,339.3
151,2022-04-17,2046,2514,1350,Sell,134,339.3
152,2023-08-20,4383,5516,5317,Sell,5864,339.3
153,2022-02-09,2594,829,2226,Sell,9439,339.3
154,2023-01-31,4128,47,4974,Sell,5936,339.3
155,2024-10-08,5655,2842,5711,Sell,643,339.3
156,2022-11-02,5734,581,1568,Sell,1531,339.3
157,2022-02-12,3653,6387,186,Sell,9667,339.3
158,2024-05-04,4648,456,576,Buy,3404,339.3
159,2024-10-04,4034,2980,4429,Buy,8120,339.3
160,2023-07-31,5516,2231,2943,Sell,1893,339.3
161,2022-05-29,4394,5445,4329,Buy,6996,339.3
162,2022-03-12,1940,5462,4252,Sell,595,339.3
